ilce_adi;mahalle_adi;mahalle_koy_uavt;cok_agir_hasarli_bina_sayisi;agir_hasarli_bina_sayisi;orta_hasarli_bina_sayisi;hafif_hasarli_bina_sayisi;can_kaybi_sayisi;agir_yarali_sayisi;hastanede_tedavi_sayisi;hafif_yarali_sayisi;dogalgaz_boru_hasari;icme_suyu_boru_hasari;atik_su_boru_hasari;gecici_barinma
ARNAVUTK÷Y;HARA««I;40489;2;12;82;230;0;0;0;4;1;1;1;209
ARNAVUTK÷Y;HASTANE;40912;1;6;45;147;0;0;0;5;0;0;0;148
ARNAVUTK÷Y;H›CRET;40486;0;3;24;61;0;0;0;2;0;0;0;91
ARNAVUTK÷Y;›MRAHOR;40481;3;17;96;255;0;0;2;11;1;1;1;301
ARNAVUTK÷Y;›SLAMBEY;40479;2;11;88;268;0;0;4;18;1;0;1;395
ARNAVUTK÷Y;KARABURUN;191987;0;3;32;112;0;0;0;0;0;0;0;34
ARNAVUTK÷Y;KARLIBAYIR;40488;2;9;60;186;0;0;1;8;0;0;1;188
ARNAVUTK÷Y;MAREﬁAL FEVZ› «AKMAK;40493;1;6;50;141;0;0;0;1;0;1;1;115
ARNAVUTK÷Y;MAV›G÷L;40485;1;6;53;146;0;0;0;3;0;0;0;146
ARNAVUTK÷Y;MEHMET AK›F ERSOY;40491;1;4;26;73;0;0;0;3;0;0;1;132
ARNAVUTK÷Y;MUSTAFA KEMAL PAﬁA;99358;1;7;53;161;0;0;3;11;0;0;1;254
ARNAVUTK÷Y;NENEHATUN;99357;1;5;43;124;0;0;0;7;0;0;1;180
ARNAVUTK÷Y;÷MERL›;40906;1;7;49;124;0;0;0;3;1;0;0;189
ARNAVUTK÷Y;SAZLIBOSNA;40907;0;5;26;68;0;0;0;1;0;0;0;46
ARNAVUTK÷Y;TAﬁOLUK;40492;1;6;44;122;0;0;1;6;0;0;1;120
ARNAVUTK÷Y;TAYAKADIN;191977;3;12;57;162;0;0;0;1;0;0;0;92
ARNAVUTK÷Y;TERKOS;40914;1;4;19;58;0;0;0;0;0;0;0;22
ARNAVUTK÷Y;YASSI÷REN;191989;0;1;12;41;0;0;0;0;0;0;0;11
ARNAVUTK÷Y;YAVUZ SEL›M;40480;2;9;64;180;0;0;1;9;0;0;1;250
ARNAVUTK÷Y;YEN›K÷Y;191979;1;5;39;121;0;0;0;0;0;1;1;43
ARNAVUTK÷Y;YEﬁ›LBAYIR;40908;1;4;27;69;0;0;0;0;0;0;0;29
ARNAVUTK÷Y;YUNUS EMRE;40484;1;10;88;244;0;0;5;16;0;0;1;403
ATAﬁEH›R;AﬁIKVEYSEL;98687;5;18;102;266;4;3;12;26;0;0;0;465
ATAﬁEH›R;ATAT‹RK;99749;2;12;76;209;2;0;11;30;0;1;1;706
ATAﬁEH›R;BARBAROS;40527;14;50;248;498;11;9;42;88;1;1;2;1281
ATAﬁEH›R;ESATPAﬁA;40793;5;20;140;422;3;1;14;33;0;0;1;598
ATAﬁEH›R;FERHATPAﬁA;40577;4;26;191;493;0;0;5;26;1;1;2;784
ATAﬁEH›R;FETIH;40795;1;3;26;102;1;0;3;7;0;0;0;203
ATAﬁEH›R;›«ERENK÷Y;40530;23;76;465;1180;19;8;61;133;1;1;3;2792
ATAﬁEH›R;›N÷N‹;40534;4;17;115;392;2;0;14;36;0;0;1;775
ATAﬁEH›R;KAYIﬁDA–I;40533;10;52;352;785;7;2;31;76;1;1;2;1930
ATAﬁEH›R;K‹«‹KBAKKALK÷Y;40531;13;41;200;501;11;6;35;71;1;1;2;1284
ATAﬁEH›R;MEVLANA;99516;1;8;64;188;2;0;7;20;0;0;0;470
ATAﬁEH›R;M›MAR S›NAN;99519;2;13;81;203;1;0;7;18;0;0;0;370
ATAﬁEH›R;MUSTAFA KEMAL;40740;8;28;145;345;6;4;18;40;0;0;1;643
ATAﬁEH›R;÷RNEK;40816;9;31;181;463;7;4;25;54;0;0;1;966
ATAﬁEH›R;YEN› «AMLICA;40746;5;24;152;319;3;1;11;28;0;0;1;630
ATAﬁEH›R;YEN›SAHRA;40526;17;51;205;397;10;9;32;64;0;0;1;671
ATAﬁEH›R;YEN›ﬁEH›R;99517;0;1;13;70;0;0;2;5;1;1;0;134
AVCILAR;AMBARLI;40146;26;105;388;634;67;35;191;364;2;2;7;3699
AVCILAR;C›HANG›R;40148;37;169;688;1171;87;46;252;496;3;4;9;5464
AVCILAR;DEN›ZK÷ﬁKLER;40147;33;138;516;843;74;39;212;409;2;3;7;4086
AVCILAR;F›RUZK÷Y;40152;19;150;676;1005;18;7;61;135;2;2;7;2073
AVCILAR;G‹M‹ﬁPALA;40151;27;115;446;750;63;34;184;353;2;2;6;3833
AVCILAR;MERKEZ;40145;17;64;253;471;44;23;124;241;1;1;4;2751
AVCILAR;MUSTAFA KEMALPAﬁA;40150;21;91;416;821;47;25;134;274;1;2;4;3863
AVCILAR;TAHTAKALE;40154;5;52;321;658;3;1;26;76;1;1;1;2247
AVCILAR;‹N›VERS›TE;40149;12;64;276;480;19;9;55;113;1;1;4;1617
AVCILAR;YEﬁ›LKENT;40153;36;313;1565;2452;43;20;146;338;4;4;5;5308
BA–CILAR;100. YIL;40176;6;22;186;665;7;3;25;61;0;0;1;1233
BA–CILAR;BA–LAR;40155;36;86;315;455;33;19;90;165;1;1;3;3267
BA–CILAR;BARBAROS;40157;36;74;273;453;50;28;133;242;0;1;2;2646
BA–CILAR;«INAR;40163;45;86;360;720;82;45;215;390;1;1;2;2548
BA–CILAR;DEM›RKAPI;40171;43;108;509;1013;71;39;192;368;1;1;3;3443
BA–CILAR;EVREN;40169;54;144;657;1233;70;38;190;367;1;2;4;3236
BA–CILAR;FAT›H;40172;25;62;334;808;40;21;107;208;1;1;2;2332
BA–CILAR;FEVZ› «AKMAK;40173;27;64;311;673;44;24;118;224;1;1;2;2593
BA–CILAR;G÷ZTEPE;40175;19;53;287;683;25;15;71;144;1;1;2;1930
BA–CILAR;G‹NEﬁL›;40168;47;114;507;961;71;39;190;358;1;1;3;4189
BA–CILAR;H‹RR›YET;40156;49;99;367;570;65;35;171;307;1;1;2;2802
BA–CILAR;›N÷N‹;40159;46;90;326;525;64;38;169;304;0;1;2;2718
BA–CILAR;KAZIM KARABEK›R;40158;46;94;360;607;66;38;174;316;1;1;2;3061
BA–CILAR;KEMALPAﬁA;40174;20;50;284;682;30;16;81;160;0;0;1;2045
BA–CILAR;K›RAZLI;40166;51;119;501;902;76;42;203;380;1;1;3;4099
BA–CILAR;MAHMUTBEY;40170;47;144;694;1236;39;23;110;209;1;2;5;1740
BA–CILAR;MERKEZ;40162;26;52;221;434;52;28;137;251;1;0;2;2323
BA–CILAR;SANCAKTEPE;40164;23;49;215;419;35;19;92;171;0;1;2;1620
BA–CILAR;YAVUZ SEL›M;40165;30;69;298;568;47;26;125;234;1;1;2;2432
BA–CILAR;YEN›G‹N;40161;24;43;186;373;54;29;138;250;0;0;2;2068
BA–CILAR;YEN›MAHALLE;40167;29;73;332;634;48;26;128;242;1;1;2;2821
BA–CILAR;YILDIZTEPE;40160;67;130;478;783;110;61;289;518;1;1;3;4367
BAH«EL›EVLER;BAH«EL›EVLER;40177;81;147;488;752;185;99;480;838;2;3;6;6193
BAH«EL›EVLER;CUMHUR›YET;40181;47;87;362;680;97;53;254;459;1;1;3;3989
BAH«EL›EVLER;«OBAN«EﬁME;40184;62;125;469;751;83;44;217;393;2;2;4;3437
BAH«EL›EVLER;FEVZ› «AKMAK;40185;37;71;276;470;70;36;180;326;1;1;2;2848
BAH«EL›EVLER;H‹RR›YET;40187;56;105;432;757;128;69;335;601;1;1;4;4906
BAH«EL›EVLER;KOCAS›NAN MERKEZ;40182;71;151;611;1088;148;83;394;723;2;2;6;6969
BAH«EL›EVLER;S›YAVUﬁPAﬁA;40179;88;143;521;922;220;117;567;989;1;2;4;6781
BAH«EL›EVLER;SO–ANLI;40180;74;126;537;1059;189;101;491;875;1;2;4;6850
BAH«EL›EVLER;ﬁ›R›NEVLER;40178;105;171;592;945;230;122;592;1028;2;2;6;6563
BAH«EL›EVLER;YEN›BOSNA MERKEZ;40183;74;162;553;796;71;41;193;352;2;3;7;3588
BAH«EL›EVLER;ZAFER;40186;101;202;827;1466;212;114;558;1015;2;2;6;9075
BAKIRK÷Y;ATAK÷Y 1. KISIM;40202;6;10;24;32;12;6;31;52;1;0;1;204
BAKIRK÷Y;ATAK÷Y 2-5-6. KISIM;40194;16;27;61;77;68;36;176;295;1;1;2;1760
BAKIRK÷Y;ATAK÷Y 3-4-11. KISIM;40201;18;30;75;89;43;23;110;185;1;1;2;1131
BAKIRK÷Y;ATAK÷Y 7-8-9-10. KISIM;40196;16;38;126;199;63;33;165;291;1;1;4;2371
BAKIRK÷Y;BASINK÷Y;40200;62;93;200;167;47;35;123;208;1;1;4;1114
BAKIRK÷Y;CEV›ZL›K;40192;39;63;188;271;29;16;74;127;0;1;1;663
BAKIRK÷Y;KARTALTEPE;40197;82;132;393;567;166;89;424;725;1;2;4;4460
BAKIRK÷Y;OSMAN›YE;40188;44;83;259;349;87;47;225;391;1;1;3;2766
BAKIRK÷Y;SAKIZA–ACI;40191;34;50;131;176;41;23;104;176;0;0;1;1092
BAKIRK÷Y;ﬁENL›KK÷Y;40199;110;234;593;488;122;68;324;561;3;3;8;4483
BAKIRK÷Y;YEN›MAHALLE;40190;34;50;132;186;42;23;108;182;0;0;1;894
BAKIRK÷Y;YEﬁ›LK÷Y;40189;201;310;696;621;161;92;413;695;3;4;11;3776
BAKIRK÷Y;YEﬁ›LYURT;40195;25;38;95;99;35;19;91;154;1;1;2;1025
BAKIRK÷Y;ZEYT›NL›K;40193;30;49;152;228;27;15;70;121;0;0;1;678
BAKIRK÷Y;ZUHURATBABA;40198;65;99;269;390;103;56;263;447;1;1;3;2493
BAﬁAKﬁEH›R;ALTINﬁEH›R;40598;10;42;199;374;8;6;28;61;0;0;1;945
BAﬁAKﬁEH›R;BAH«EﬁEH›R 1. KISIM;40871;5;44;278;549;1;0;11;33;0;1;2;1151
BAﬁAKﬁEH›R;BAH«EﬁEH›R 2. KISIM;40872;11;57;311;738;16;7;53;115;1;2;2;1613
BAﬁAKﬁEH›R;BAﬁAK;40357;1;8;66;225;1;0;7;24;1;1;1;1000
BAﬁAKﬁEH›R;BAﬁAKﬁEH›R;40581;1;3;21;115;1;0;6;18;0;0;1;522
BAﬁAKﬁEH›R;G‹VERC›NTEPE;40597;26;115;573;1173;21;16;80;183;1;1;3;3188
BAﬁAKﬁEH›R;KAYABAﬁI;40583;4;18;91;261;2;1;9;27;1;1;1;1580
BAﬁAKﬁEH›R;ﬁAH›NTEPE;40584;29;128;615;1197;11;8;54;125;1;1;2;2380
BAﬁAKﬁEH›R;ﬁAMLAR;191991;1;7;36;88;0;0;0;0;0;0;1;53
BAﬁAKﬁEH›R;Z›YA G÷KALP;40585;27;153;787;1523;10;7;39;84;1;2;6;965
BAYRAMPAﬁA;ALTINTEPS›;40207;68;135;483;826;60;37;161;291;1;1;2;2839
BAYRAMPAﬁA;CEVATPAﬁA;40203;18;43;175;384;18;12;51;98;0;0;1;1214
BAYRAMPAﬁA;›SMET PAﬁA;40209;50;86;260;442;41;28;108;191;0;0;1;1510
BAYRAMPAﬁA;KARTALTEPE;40211;68;137;483;1025;67;45;180;331;1;1;2;3056
BAYRAMPAﬁA;KOCATEPE;40212;26;55;233;468;30;17;82;154;1;1;2;1653
BAYRAMPAﬁA;MURATPAﬁA;40213;116;202;589;1008;93;63;245;435;1;1;2;3394
BAYRAMPAﬁA;ORTAMAHALLE;40204;57;107;334;533;40;27;106;189;0;1;1;1588
BAYRAMPAﬁA;TERAZ›DERE;40206;52;98;309;530;34;24;93;167;0;1;2;1509
BAYRAMPAﬁA;VATAN;40205;36;72;229;366;22;16;60;108;0;0;1;1053
BAYRAMPAﬁA;YEN›DO–AN;40208;57;104;345;582;46;29;122;217;0;1;2;1765
BAYRAMPAﬁA;YILDIRIM;40210;66;143;619;1251;69;42;186;348;1;1;3;3483
BEﬁ›KTAﬁ;ABBASA–A;40219;2;6;31;111;1;1;4;9;0;0;0;136
BEﬁ›KTAﬁ;AKAT;40234;3;11;73;220;1;1;5;14;0;0;1;329
BEﬁ›KTAﬁ;ARNAVUTK÷Y;40231;1;7;52;164;0;0;0;4;0;0;0;90
BEﬁ›KTAﬁ;BALMUMCU;40223;1;3;24;67;0;0;1;3;0;0;0;84
BEﬁ›KTAﬁ;BEBEK;40232;2;6;46;143;0;0;2;5;0;0;0;114
BEﬁ›KTAﬁ;C›HANN‹MA;40217;3;7;35;110;2;1;5;10;0;0;0;119
BEﬁ›KTAﬁ;D›K›L›TAﬁ;40221;2;4;25;135;2;1;7;16;0;0;0;207
BEﬁ›KTAﬁ;ET›LER;40233;1;4;44;137;0;0;2;8;0;0;0;201
BEﬁ›KTAﬁ;GAYRETTEPE;40222;1;3;17;93;1;0;6;13;0;0;0;178
BEﬁ›KTAﬁ;KONAKLAR;40236;1;4;28;106;0;0;4;10;0;0;1;230
BEﬁ›KTAﬁ;KURU«EﬁME;40228;1;6;38;116;0;0;0;3;0;0;0;74
BEﬁ›KTAﬁ;K‹LT‹R;40229;0;2;17;65;0;0;1;2;0;0;0;64
BEﬁ›KTAﬁ;LEVAZIM;40226;0;1;7;40;0;0;1;4;0;0;0;74
BEﬁ›KTAﬁ;LEVENT;40235;2;8;95;248;0;0;1;4;1;1;1;105
BEﬁ›KTAﬁ;MEC›D›YE;40224;11;32;127;293;6;4;17;38;0;0;0;525
BEﬁ›KTAﬁ;MURAD›YE;40216;1;2;12;66;1;0;3;6;0;0;0;69
BEﬁ›KTAﬁ;N›SBET›YE;40230;1;2;21;103;0;0;2;7;0;0;0;143
BEﬁ›KTAﬁ;ORTAK÷Y;40225;7;20;96;239;2;2;9;20;0;0;1;366
BEﬁ›KTAﬁ;S›NANPAﬁA;40215;8;18;71;169;4;2;10;18;0;0;0;147
BEﬁ›KTAﬁ;T‹RKAL›;40218;6;14;62;190;4;2;10;21;0;0;0;333
BEﬁ›KTAﬁ;ULUS;40227;1;3;23;88;0;0;1;5;0;0;0;125
BEﬁ›KTAﬁ;V›ﬁNEZADE;40214;5;13;54;170;1;0;4;11;0;1;1;214
BEﬁ›KTAﬁ;YILDIZ;40220;4;11;55;168;1;0;4;9;1;0;1;169
BEYKOZ;ACARLAR;40250;1;8;89;295;0;0;0;0;1;0;0;109
BEYKOZ;AKBABA;191701;0;2;18;66;0;0;0;0;0;0;0;33
BEYKOZ;AL›BAHADIR;191703;1;2;14;40;0;0;0;0;0;0;0;19
BEYKOZ;ANADOLU FENER›;191705;0;2;15;48;0;0;0;0;0;0;0;18
BEYKOZ;ANADOLU H›SARI;40243;3;10;67;145;0;0;2;5;0;0;0;27
BEYKOZ;ANADOLU KAVA–I;40256;1;3;16;49;0;0;0;1;0;0;0;102
BEYKOZ;BAKLACI;40257;1;8;64;171;0;0;0;0;1;1;1;95
BEYKOZ;BOZHANE;191725;1;3;13;36;0;0;0;0;0;0;0;15
BEYKOZ;CUMHUR›YET;191727;1;5;28;84;0;0;0;1;0;0;0;41
BEYKOZ;«AMLIBAH«E;40253;10;26;122;224;4;3;14;27;0;0;1;356
BEYKOZ;«ENGELDERE;40258;1;7;58;172;0;0;0;0;0;1;1;108
BEYKOZ;«›FTL›K;40259;1;7;61;172;0;0;0;0;0;0;1;120
BEYKOZ;«›–DEM;40240;1;6;59;199;0;0;0;5;0;0;0;152
BEYKOZ;«UBUKLU;40241;9;34;185;495;3;3;13;33;1;1;1;483
BEYKOZ;DERESEK›;191709;0;2;19;66;0;0;0;0;0;0;0;23
BEYKOZ;ELMALI;191711;1;4;34;106;0;0;0;0;0;0;0;48
BEYKOZ;FAT›H;40260;0;4;31;91;0;0;0;1;0;0;0;83
BEYKOZ;G÷KSU;40244;5;15;80;149;1;0;6;13;0;0;1;140
BEYKOZ;G÷LL‹;191729;0;1;7;19;0;0;0;0;0;0;0;8
BEYKOZ;G÷RELE;191713;1;4;32;91;0;0;0;0;0;0;0;50
BEYKOZ;G÷ZTEPE;40246;4;15;90;209;1;0;5;12;0;0;1;295
BEYKOZ;G‹M‹ﬁSUYU;40237;9;34;176;469;1;1;8;21;0;1;1;357
BEYKOZ;›NC›RK÷Y;40238;5;20;149;416;1;1;5;15;0;0;1;368
BEYKOZ;›SHAKLI;191731;1;4;26;78;0;0;0;0;0;0;0;29
BEYKOZ;KANLICA;40242;1;5;42;119;0;0;0;3;0;0;0;97
BEYKOZ;KAVACIK;40247;7;23;134;381;2;1;13;31;0;1;1;545
BEYKOZ;KAYNARCA;191715;0;1;8;25;0;0;0;0;0;0;0;12
BEYKOZ;KILI«LI;191733;0;1;11;36;0;0;0;0;0;0;0;11
BEYKOZ;MAHMUTﬁEVKETPAﬁA;191723;1;5;31;93;0;0;0;0;0;0;0;40
BEYKOZ;MERKEZ;40251;0;2;33;122;0;0;0;1;0;0;0;63
BEYKOZ;ORTA«EﬁME;40254;4;13;83;202;2;1;5;11;0;0;0;196
BEYKOZ;÷–‹MCE;191735;1;3;18;49;0;0;0;0;0;0;0;20
BEYKOZ;÷RNEKK÷Y;191721;1;5;38;120;0;0;0;0;0;0;1;69
BEYKOZ;PAﬁABAH«E;40239;4;11;72;143;1;0;4;9;0;0;0;161
BEYKOZ;PAﬁAMANDIRA;191737;2;6;26;71;0;0;0;1;0;0;0;39
BEYKOZ;POLONEZK÷Y;191717;2;6;32;77;0;0;0;0;0;0;0;27
BEYKOZ;POYRAZK÷Y;16634;1;4;16;43;0;0;0;0;0;0;0;0
BEYKOZ;R›VA;191707;0;3;37;134;0;0;0;0;1;0;0;37
BEYKOZ;R‹ZGARLIBAH«E;40248;4;20;86;248;1;1;6;15;0;0;0;166
BEYKOZ;SO–UKSU;40249;0;3;41;150;0;0;0;2;0;0;0;94
BEYKOZ;TOKATK÷Y;40255;7;23;137;339;3;2;9;19;0;0;0;324
BEYKOZ;YALIK÷Y;40252;7;18;83;190;2;2;7;15;0;0;0;165
BEYKOZ;YAVUZ SEL›M;40261;1;8;73;209;0;0;0;0;1;1;1;114
BEYKOZ;YEN› MAHALLE;40245;13;55;290;679;3;1;15;43;1;0;1;656
BEYKOZ;ZERZAVAT«I;191739;0;2;12;36;0;0;0;0;0;0;0;22
BEYL›KD‹Z‹;ADNAN KAHVEC›;40869;27;83;292;624;106;56;285;523;2;5;8;6195
BEYL›KD‹Z‹;BARIﬁ;40875;12;39;126;306;84;44;222;394;1;2;5;3284
BEYL›KD‹Z‹;B‹Y‹KﬁEH›R;40877;3;10;30;89;25;13;65;115;0;0;1;1076
BEYL›KD‹Z‹;CUMHUR›YET;40874;6;14;40;140;36;19;95;168;1;1;2;1051
BEYL›KD‹Z‹;DEREA–ZI;40870;66;203;594;619;24;10;80;159;4;7;14;1785
BEYL›KD‹Z‹;G‹RPINAR;40867;39;126;397;450;37;20;104;191;2;2;5;2400
BEYL›KD‹Z‹;KAVAKLI;40873;40;117;369;524;50;27;147;271;3;5;13;2914
BEYL›KD‹Z‹;MARMARA;40893;25;80;241;343;56;28;152;271;3;3;7;2506
BEYL›KD‹Z‹;SAH›L;40876;25;65;171;161;12;6;37;67;1;2;4;684
BEYL›KD‹Z‹;YAKUPLU;40894;78;213;744;1075;97;53;269;496;4;5;13;4775
BEYO–LU;ARAP CAM›;40299;17;29;86;157;0;0;1;2;0;0;1;12
BEYO–LU;ASMALI MESC›T;40281;2;4;21;82;0;0;1;3;0;0;0;112
BEYO–LU;BEDRETT›N;40300;3;7;26;63;1;0;2;5;0;0;0;225
BEYO–LU;BEREKETZADE;40298;4;9;35;89;0;0;1;1;0;0;0;41
BEYO–LU;BOSTAN;40291;11;23;76;142;7;6;20;37;0;0;0;198
BEYO–LU;B‹LB‹L;40292;4;14;64;172;1;1;4;9;0;0;0;138
BEYO–LU;CAM››KEB›R;40301;28;46;126;195;14;9;34;62;0;1;1;182
BEYO–LU;C›HANG›R;40275;2;5;26;111;0;0;2;5;0;0;0;249
BEYO–LU;«ATMA MESC›T;40283;2;6;25;67;1;1;3;5;0;0;0;169
BEYO–LU;«UKUR;40293;3;8;32;97;1;1;3;7;0;0;0;59
BEYO–LU;EMEKYEMEZ;40269;11;21;68;123;0;0;1;1;0;0;0;3
BEYO–LU;EVL›YA «ELEB›;40282;1;2;8;27;0;0;1;1;0;0;0;46
BEYO–LU;FET›HTEPE;40262;8;26;148;387;6;5;19;41;0;0;0;75
BEYO–LU;F›RUZA–A;40276;3;9;39;128;1;1;4;8;0;0;0;82
BEYO–LU;G‹M‹ﬁSUYU;40278;2;4;22;86;0;0;2;3;0;0;0;82
BEYO–LU;HACIAHMET;40280;16;38;133;292;10;8;28;54;0;0;0;239
BEYO–LU;HACIM›M›;40285;17;22;57;102;2;1;5;8;0;0;0;32
BEYO–LU;HALICIO–LU;40304;11;21;80;175;12;7;31;56;0;0;0;1821
BEYO–LU;H‹SEY›NA–A;40272;1;4;18;69;0;0;1;3;0;0;0;85
BEYO–LU;›ST›KLAL;40279;29;66;200;315;10;9;27;50;0;0;1;45
BEYO–LU;KADI MEHMET EFEND›;40267;7;13;53;137;7;4;19;35;0;0;0;61
BEYO–LU;KALYONCU KULLU–U;40270;4;10;40;107;2;2;6;12;0;0;0;78
BEYO–LU;KAMER HATUN;40271;1;5;19;60;1;1;2;4;0;0;0;39
BEYO–LU;KAPTANPAﬁA;40264;10;28;146;352;12;7;32;64;0;0;1;477
BEYO–LU;KAT›PMUSTAFA «ELEB›;40274;1;4;20;85;0;0;1;3;0;0;0;24
BEYO–LU;KE«EC› P›R›;40302;18;39;164;361;10;7;29;55;1;1;1;118
BEYO–LU;KEMANKEﬁ KARAMUSTAFAPAﬁA;40297;23;29;69;100;2;1;5;8;0;0;1;4
BEYO–LU;KILI«AL› PAﬁA;40296;2;5;23;83;0;0;2;5;0;0;0;300
BEYO–LU;KOCATEPE;40277;3;9;40;132;1;1;2;5;0;0;0;177
BEYO–LU;KULAKSIZ;40266;12;21;74;148;12;8;32;58;0;0;0;637
BEYO–LU;KULO–LU;40288;2;5;24;94;0;0;2;4;0;0;0;102
BEYO–LU;K‹«‹K P›YALE;40268;16;29;97;179;11;8;29;53;0;0;1;199
BEYO–LU;M‹EYYETZADE;40286;2;5;22;73;0;0;1;1;0;0;0;25
BEYO–LU;÷MER AVN›;40294;4;7;29;91;1;0;5;9;0;0;0;91
BEYO–LU;÷RNEKTEPE;40305;22;45;166;311;15;11;40;75;1;1;1;87
BEYO–LU;P›R›PAﬁA;40303;26;55;208;406;21;14;57;106;0;1;1;455
BEYO–LU;P›YALEPAﬁA;40263;9;26;168;490;9;6;26;54;1;0;1;185
BEYO–LU;P‹RTELAﬁ HASAN EFEND›;40295;4;8;31;82;1;0;4;7;0;0;0;293
BEYO–LU;SURUR› MEHMET EFEND›;40289;15;28;84;140;9;7;24;42;0;0;0;114
BEYO–LU;S‹TL‹CE;40306;22;39;123;226;21;13;55;98;0;1;1;992
BEYO–LU;ﬁAHKULU;40284;2;5;23;84;0;0;1;2;0;0;0;207
BEYO–LU;ﬁEH›T MUHTAR;40273;3;8;36;140;0;0;2;5;0;0;0;300
BEYO–LU;TOMTOM;40287;2;7;31;108;1;1;3;5;0;0;0;229
BEYO–LU;YAHYA KAHYA;40290;20;33;92;131;12;8;31;53;0;0;1;646
BEYO–LU;YEN›ﬁEH›R;40265;5;14;60;159;3;2;9;17;0;0;0;560
B‹Y‹K«EKMECE;19 MAYIS;40850;13;36;139;208;13;7;35;67;1;1;2;818
B‹Y‹K«EKMECE;AHMED›YE;40891;5;16;60;84;1;0;3;7;0;0;0;117
B‹Y‹K«EKMECE;ALKENT 2000;40844;12;57;255;386;1;0;6;12;1;1;1;406
B‹Y‹K«EKMECE;ATAT‹RK;40845;24;75;293;410;28;14;76;145;1;1;2;1933
B‹Y‹K«EKMECE;BAH«EL›EVLER;40882;24;111;449;550;0;0;7;23;1;2;1;579
B‹Y‹K«EKMECE;CELAL›YE;40928;7;66;358;608;0;0;4;17;2;3;2;471
B‹Y‹K«EKMECE;CUMHUR›YET;40846;11;48;189;261;9;4;31;62;1;1;2;631
B‹Y‹K«EKMECE;«AKMAKLI;99334;9;27;96;139;7;5;22;41;0;0;0;430
B‹Y‹K«EKMECE;D›ZDAR›YE;40847;22;43;137;185;20;12;53;95;0;0;1;818
B‹Y‹K«EKMECE;EK›NOBA;40886;8;29;115;183;14;7;40;77;1;1;2;1061
B‹Y‹K«EKMECE;FAT›H;40848;29;80;306;422;31;16;88;166;1;1;3;1920
B‹Y‹K«EKMECE;G‹ZELCE;40883;41;174;635;734;6;2;30;65;2;3;3;1076
B‹Y‹K«EKMECE;H‹RR›YET;40889;28;92;375;535;22;14;68;139;1;2;4;1902
B‹Y‹K«EKMECE;KAM›LOBA;40929;6;56;313;541;0;0;1;7;2;3;3;549
B‹Y‹K«EKMECE;KARAA–A«;40849;5;39;219;416;0;0;0;0;1;1;1;227
B‹Y‹K«EKMECE;KUMBURGAZ;40884;20;81;328;444;3;1;17;39;1;2;2;801
B‹Y‹K«EKMECE;M›MAR S›NAN MERKEZ;40887;42;98;324;412;21;13;61;109;1;1;3;967
B‹Y‹K«EKMECE;M›MAROBA;140376;10;35;143;265;22;12;63;117;1;1;2;1453
